26/06/2024 2:23:03 am,Withdraw,500,9500.50
26/06/2024 2:23:09 am,Balance Check,,9500.50
26/06/2024 2:36:24 am,Deposit,550,10050.50
26/06/2024 2:36:47 am,Deposit,300.00,10350.50
26/06/2024 3:57:01 am,Deposit,10000,20000.50
26/06/2024 4:13:44 am,Deposit,1000,21000.50
26/06/2024 4:52:59 am,Deposit,200,21200.50
26/06/2024 4:53:14 am,Withdraw,300,20900.50
26/06/2024 9:53:17 am,Deposit,12345,33245.50
26/06/2024 9:53:37 am,Withdraw,1234,32011.50
26/06/2024 10:09:16 am,Deposit,500,32511.50
26/06/2024 10:44:05 am,Withdraw,2000,30511.50
26/06/2024 12:21:36 pm,Deposit,0,30511.50
26/06/2024 12:21:59 pm,Withdraw,0,30511.50
26/06/2024 12:25:32 pm,Deposit,60705,91216.50
26/06/2024 12:36:03 pm,Withdraw,100,91116.50
26/06/2024 12:42:19 pm,Withdraw,500,90616.50
26/06/2024 12:45:11 pm,Withdraw,500,90116.50
26/06/2024 1:01:21 pm,Deposit,100,90216.50
26/06/2024 1:13:02 pm,Withdraw,1000,89216.50
26/06/2024 1:13:29 pm,Deposit,10000,99216.50
26/06/2024 1:42:26 pm,Withdraw,500,98716.50
19/10/2024 8:58:36 pm,Deposit,2000,100716.50
